Class,True Positive,False Positive,False Negative,True Negative,Accuracy,Precision,Recall,F1 Score
0,4,0,1,33,0.9736842105263158,1.0,0.8,0.8888888888888888
1,4,0,1,33,0.9736842105263158,1.0,0.8,0.8888888888888888
2,2,0,0,36,1.0,1.0,1.0,1.0
3,1,1,1,35,0.9473684210526315,0.5,0.5,0.5
4,1,0,0,37,1.0,1.0,1.0,1.0
5,1,2,0,35,0.9473684210526315,0.3333333333333333,1.0,0.5
6,3,1,0,34,0.9736842105263158,0.75,1.0,0.8571428571428571
7,2,2,1,33,0.9210526315789473,0.5,0.6666666666666666,0.5714285714285714
8,0,1,3,34,0.8947368421052632,0.0,0.0,0.0
9,0,2,1,35,0.9210526315789473,0.0,0.0,0.0
10,3,1,2,32,0.9210526315789473,0.75,0.6,0.6666666666666666
11,2,0,0,36,1.0,1.0,1.0,1.0
12,1,0,1,36,0.9736842105263158,1.0,0.5,0.6666666666666666
13,3,1,0,34,0.9736842105263158,0.75,1.0,0.8571428571428571
