Class,True Positive,False Positive,False Negative,True Negative,Accuracy,Precision,Recall,F1 Score
0,90,1,2,1407,0.998,0.989010989010989,0.9782608695652174,0.9836065573770492
1,103,0,0,1397,1.0,1.0,1.0,1.0
2,89,3,1,1407,0.9973333333333333,0.967391304347826,0.9888888888888889,0.978021978021978
3,99,0,3,1398,0.998,1.0,0.9705882352941176,0.9850746268656716
4,87,0,0,1413,1.0,1.0,1.0,1.0
5,108,0,0,1392,1.0,1.0,1.0,1.0
6,113,0,3,1384,0.998,1.0,0.9741379310344828,0.9868995633187773
7,88,15,10,1387,0.9833333333333333,0.8543689320388349,0.8979591836734694,0.8756218905472637
8,102,0,0,1398,1.0,1.0,1.0,1.0
9,95,2,4,1399,0.996,0.979381443298969,0.9595959595959596,0.9693877551020408
10,79,23,9,1389,0.9786666666666667,0.7745098039215687,0.8977272727272727,0.8315789473684211
11,95,0,6,1399,0.996,1.0,0.9405940594059405,0.9693877551020408
12,108,0,3,1389,0.998,1.0,0.972972972972973,0.9863013698630136
13,113,0,2,1385,0.9986666666666667,1.0,0.9826086956521739,0.9912280701754386
14,87,0,1,1412,0.9993333333333333,1.0,0.9886363636363636,0.9942857142857143
